,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg,cases,earnings_5ya.x,pop_dens_5ya,age_5ya.x,earnings_5ya.y,age_5ya.y,earnings_5ya,age_5ya,Area code,Cumulative lab-confirmed cases
50,E06000027,16,2159,21710,48.6,7.7017872,8.653213699999998,3.1591667,11.787385,11.5293348,98,20644.2,2143,47.9,20644.2,47.9,20644.2,47.9,E06000027,98
51,E06000027,16,2159,21710,48.6,7.7017872,8.653213699999998,3.1591667,11.787385,11.5293348,98,20644.2,2143,47.9,20644.2,47.9,20644.2,47.9,E06000027,98
52,E06000030,41,965,28230,39.8,10.979766,17.249419,3.3251288999999997,15.910032999999999,25.012232,169,27242.0,954,39.5,27242.0,39.5,27242.0,39.5,E06000030,169
53,E06000030,41,965,28230,39.8,10.979766,17.249419,3.3251288999999997,15.910032999999999,25.012232,169,27242.0,954,39.5,27242.0,39.5,27242.0,39.5,E06000030,169
54,E06000031,17,585,26233,36.5,10.510034,17.841085,3.2052036,15.600054,26.071132000000002,109,25633.2,574,36.1,25633.2,36.1,25633.2,36.1,E06000031,109
55,E06000031,17,585,26233,36.5,10.510034,17.841085,3.2052036,15.600054,26.071132000000002,109,25633.2,574,36.1,25633.2,36.1,25633.2,36.1,E06000031,109
56,E06000032,74,4939,24830,34.2,11.193166,19.858235999999998,3.2438307,16.141619,29.611396000000003,380,24725.8,4927,33.5,24725.8,33.5,24725.8,33.5,E06000032,380
57,E06000032,74,4939,24830,34.2,11.193166,19.858235999999998,3.2438307,16.141619,29.611396000000003,380,24725.8,4927,33.5,24725.8,33.5,24725.8,33.5,E06000032,380
58,E06000033,67,4370,31343,41.6,10.911258199999999,16.513998,3.9335940000000003,15.427715,23.91461,215,29394.8,4342,41.4,29394.8,41.4,29394.8,41.4,E06000033,215
59,E06000033,67,4370,31343,41.6,10.911258199999999,16.513998,3.9335940000000003,15.427715,23.91461,215,29394.8,4342,41.4,29394.8,41.4,29394.8,41.4,E06000033,215
60,E06000034,41,1055,28130,36.9,11.253006,17.502938,3.7656311000000002,17.121420999999998,25.394671,191,27465.2,1033,36.9,27465.2,36.9,27465.2,36.9,E06000034,191
61,E06000034,41,1055,28130,36.9,11.253006,17.502938,3.7656311000000002,17.121420999999998,25.394671,191,27465.2,1033,36.9,27465.2,36.9,27465.2,36.9,E06000034,191
62,E06000035,63,1436,29819,38.1,11.076428,15.632535999999998,3.9793192000000004,16.014656,22.469889000000002,382,28155.2,1428,37.9,28155.2,37.9,28155.2,37.9,E06000035,382
63,E06000035,63,1436,29819,38.1,11.076428,15.632535999999998,3.9793192000000004,16.014656,22.469889000000002,382,28155.2,1428,37.9,28155.2,37.9,28155.2,37.9,E06000035,382
64,E06000036,23,1112,32838,39.1,10.322391699999999,14.579104000000001,3.8610629000000003,14.664123000000002,20.579763,113,32732.6,1099,38.7,32732.6,38.7,32732.6,38.7,E06000036,113
65,E06000036,23,1112,32838,39.1,10.322391699999999,14.579104000000001,3.8610629000000003,14.664123000000002,20.579763,113,32732.6,1099,38.7,32732.6,38.7,32732.6,38.7,E06000036,113
66,E06000037,37,225,35730,43.2,9.4913207,11.6869775,4.3048791,14.237860000000001,16.171674,158,33840.2,224,42.6,33840.2,42.6,33840.2,42.6,E06000037,158
67,E06000037,37,225,35730,43.2,9.4913207,11.6869775,4.3048791,14.237860000000001,16.171674,158,33840.2,224,42.6,33840.2,42.6,33840.2,42.6,E06000037,158
68,E06000038,42,4040,32470,34.4,11.391492999999999,22.39588,2.71842608,16.331692,35.232023999999996,197,30574.0,4013,34.1,30574.0,34.1,30574.0,34.1,E06000038,197
69,E06000038,42,4040,32470,34.4,11.391492999999999,22.39588,2.71842608,16.331692,35.232023999999996,197,30574.0,4013,34.1,30574.0,34.1,30574.0,34.1,E06000038,197
70,E06000039,42,4582,29197,34.8,11.713947000000001,25.026685999999998,2.5308067000000003,17.080285999999997,39.512506,230,27951.2,4536,34.1,27951.2,34.1,27951.2,34.1,E06000039,230
71,E06000039,42,4582,29197,34.8,11.713947000000001,25.026685999999998,2.5308067000000003,17.080285999999997,39.512506,230,27951.2,4536,34.1,27951.2,34.1,27951.2,34.1,E06000039,230
72,E06000040,47,768,43963,42.1,9.8643991,14.651691,3.8290535000000006,14.228024,20.810211,148,44560.6,762,41.6,44560.6,41.6,44560.6,41.6,E06000040,148
73,E06000040,47,768,43963,42.1,9.8643991,14.651691,3.8290535000000006,14.228024,20.810211,148,44560.6,762,41.6,44560.6,41.6,44560.6,41.6,E06000040,148
74,E06000041,39,939,41939,41.6,10.49741,17.017188,3.5429822,15.008447,24.931317,180,39149.4,920,41.5,39149.4,41.5,39149.4,41.5,E06000041,180
75,E06000041,39,939,41939,41.6,10.49741,17.017188,3.5429822,15.008447,24.931317,180,39149.4,920,41.5,39149.4,41.5,39149.4,41.5,E06000041,180
76,E06000042,79,870,31343,37.6,10.94886,16.077431,3.426346,16.428269,22.997111999999998,296,30298.8,862,37.0,30298.8,37.0,30298.8,37.0,E06000042,296
77,E06000042,79,870,31343,37.6,10.94886,16.077431,3.426346,16.428269,22.997111999999998,296,30298.8,862,37.0,30298.8,37.0,30298.8,37.0,E06000042,296
78,E06000043,44,3508,31235,35.4,10.838328,16.018829999999998,2.7058877,15.648712,22.840278,225,29463.4,3464,35.6,29463.4,35.6,29463.4,35.6,E06000043,225
79,E06000043,44,3508,31235,35.4,10.838328,16.018829999999998,2.7058877,15.648712,22.840278,225,29463.4,3464,35.6,29463.4,35.6,29463.4,35.6,E06000043,225
80,E06000044,35,5327,24884,33.9,12.677245,22.554212,2.7371082,17.639075,34.903586,170,24193.6,5268,33.9,24193.6,33.9,24193.6,33.9,E06000044,170
81,E06000044,35,5327,24884,33.9,12.677245,22.554212,2.7371082,17.639075,34.903586,170,24193.6,5268,33.9,24193.6,33.9,24193.6,33.9,E06000044,170
82,E06000045,39,5065,23961,32.2,10.8846389,27.829834,2.1337327,15.454614999999999,47.494359,257,23600.6,4999,32.4,23600.6,32.4,23600.6,32.4,E06000045,257
83,E06000045,39,5065,23961,32.2,10.8846389,27.829834,2.1337327,15.454614999999999,47.494359,257,23600.6,4999,32.4,23600.6,32.4,23600.6,32.4,E06000045,257
84,E06000046,13,373,23418,50.1,8.496919300000002,7.7468744,4.4185761,13.140457000000001,10.3814969,51,23700.2,370,49.1,23700.2,49.1,23700.2,49.1,E06000046,51
85,E06000046,13,373,23418,50.1,8.496919300000002,7.7468744,4.4185761,13.140457000000001,10.3814969,51,23700.2,370,49.1,23700.2,49.1,23700.2,49.1,E06000046,51
86,E06000047,160,237,26634,43.5,6.523122799999999,5.710016099999999,2.9289187,9.8711753,7.4387272,647,25391.2,235,43.4,25391.2,43.4,25391.2,43.4,E06000047,647
