Code,deaths,2018 people per sq. km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg
E06000022,34,555,30783.0,38.2,8.54156692,7.37689168,3.38392392,12.987733799999997,9.798867399999999
E06000023,62,4224,28065.0,32.5,10.37329182,22.2425882,2.00653319,15.395296600000004,33.7288712
E06000024,19,572,29897.0,45.9,8.188790220000001,9.37744934,3.040820224,12.285080800000001,12.6743472
E06000025,52,569,27813.0,40.7,9.33271298,12.39611728,3.0532312999999998,14.316489999999998,17.163777
E06000026,21,3296,25021.0,38.3,8.784910820000002,16.255570999999996,2.4538334980000003,13.58317344,23.50316082
E06000027,16,2159,21710.0,48.6,7.70178714,8.65321332,3.159166612,11.787384059999997,11.529335159999999
E06000030,41,965,28230.0,39.8,10.979766080000001,17.249418400000003,3.3251289119999994,15.9100334,25.012232599999997
E06000031,17,585,26233.0,36.5,10.51003546,17.841082999999998,3.2052035399999994,15.600055800000002,26.071133999999994
E06000032,74,4939,24830.0,34.2,11.215294440000001,20.4827826,3.14634513,16.2189688,30.742237199999998
E06000033,67,4370,31343.0,41.6,11.0719513,17.019063799999998,3.8664196399999993,15.6707352,24.7415634
E06000034,41,1055,28130.0,36.9,11.2530064,17.502937400000004,3.765631066,17.121419600000003,25.394670400000003
E06000035,63,1436,29819.0,38.1,11.076427759999998,15.6325374,3.9793191759999997,16.0146562,22.4698888
E06000036,23,1112,32838.0,39.1,10.3223923,14.579104600000003,3.861062958,14.6641234,20.5797636
E06000037,37,225,35730.0,43.2,9.491320680000001,11.686977559999999,4.304879216,14.237860000000001,16.1716742
E06000038,42,4040,32470.0,34.4,11.53127124,23.399074399999996,2.5512455,16.501469200000003,37.1504192
E06000039,42,4582,29197.0,34.8,11.90301312,25.9087428,2.411588162,17.3928012,41.29510079999999
E06000040,47,768,43963.0,42.1,9.8643995,14.6516918,3.829053548,14.228023199999999,20.810212
E06000041,39,939,41939.0,41.6,10.497409020000001,17.0171908,3.542982348,15.008445599999998,24.931317200000002
E06000042,79,870,31343.0,37.6,10.948859100000002,16.0774324,3.42634596,16.428271399999996,22.9971118
E06000043,44,3508,31235.0,35.4,10.838328440000002,16.0188286,2.7058877920000004,15.6487098,22.840279
E06000044,35,5327,24884.0,33.9,12.677245719999998,22.554212999999997,2.7371079799999998,17.6390752,34.9035876
E06000045,39,5065,23961.0,32.2,10.8846398,27.829832800000002,2.1337326459999995,15.454617200000001,47.4943594
E06000046,13,373,23418.0,50.1,8.49691932,7.7468745,4.418576042,13.140456199999997,10.381497460000002
E06000047,160,237,26634.0,43.5,6.642587879999999,6.147608180000001,2.9687754240000004,10.04557648,8.04436266
E06000049,103,326,31067.0,46.2,8.0153054,10.074294779999999,2.3774346,12.2521478,13.649505799999996
E06000050,73,371,29183.0,44.4,7.266672299999999,7.520710320000001,2.8662772,10.97643786,9.97453768
E06000051,41,100,26455.0,47.4,7.467711319999999,4.95371396,4.386932270000001,11.76099854,6.414803019999999
E06000052,76,160,22887.0,47.2,7.022833059999999,4.9894269399999995,3.2697636759999993,12.309671999999997,6.4379181
E06000053,0,137,32110.0,48.0,5.637275300000001,3.7279578800000004,3.3036225480000008,9.5576473,4.76335634
