Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
173,E07000103,32829.0,36.7,Watford,4515,38,51.6553875,-0.3957425
250,E07000105,29591.0,41.9,Ashford,223,17,51.148555,0.8722566
251,E07000106,28993.0,38.0,Canterbury,533,30,51.2800275,1.0802533
252,E07000107,32715.0,37.3,Dartford,1508,29,51.4443059,0.21807
253,E07000108,27654.0,46.4,Dover,371,24,51.1251275,1.3134228
254,E07000109,28460.0,39.6,Gravesham,1074,28,51.3972369,0.3961726
255,E07000110,30868.0,41.4,Maidstone,432,24,51.2748258,0.5231646
256,E07000111,40393.0,44.1,Sevenoaks,326,32,51.2745218,0.1961166
257,E07000112,26383.0,46.9,Folkestone and Hythe,316,16,51.0577484,1.0060721
258,E07000113,28864.0,41.3,Swale,397,33,51.3367451,0.8013698
259,E07000114,22388.0,44.7,Thanet,1372,31,51.3533046,1.3319866
260,E07000115,36707.0,42.3,Tonbridge and Malling,543,17,51.2717306,0.3566598
261,E07000116,36271.0,43.0,Tunbridge Wells,356,14,51.1371483,0.2673446
34,E07000117,23695.0,39.9,Burnley,800,20,53.7907262,-2.2439196
35,E07000118,27728.0,43.4,Chorley,576,17,53.3084928,-2.261966
36,E07000119,32034.0,50.1,Fylde,481,16,53.7933622,-2.8942601
37,E07000120,25439.0,39.7,Hyndburn,1107,11,53.7607317,-2.3900549
38,E07000121,27394.0,39.7,Lancaster,250,24,54.0484068,-2.7990345
39,E07000122,27708.0,39.7,Pendle,540,21,53.8790402,-2.1717795
40,E07000123,24298.0,35.2,Preston,997,25,53.7593363,-2.6992717
41,E07000124,32436.0,47.9,Ribble Valley,103,6,53.9026441,-2.422856
42,E07000125,26771.0,42.5,Rossendale,514,5,53.6848806,-2.2614398
43,E07000126,26452.0,44.3,South Ribble,979,16,53.7271527,-2.7330066
44,E07000127,28809.0,44.4,West Lancashire,329,30,53.6109397,-2.8565713
45,E07000128,24317.0,49.5,Wyre,394,12,53.9000859,-2.8389532
84,E07000129,28477.0,43.0,Blaby,770,14,52.5731976,-1.1646389
85,E07000130,27129.0,38.5,Charnwood,655,30,52.7392639,-1.1370833
86,E07000131,33651.0,46.1,Harborough,156,14,52.5385689,-0.9200445
87,E07000132,25750.0,45.0,Hinckley and Bosworth,378,18,52.608409,-1.417191
88,E07000133,24053.0,47.1,Melton,106,14,52.8117106,-0.8592867
89,E07000134,28006.0,43.9,North West Leicestershire,366,27,52.7704201,-1.3965047
90,E07000135,23642.0,42.7,Oadby and Wigston,2425,18,52.5870666,-1.0997802
91,E07000136,21573.0,41.8,Boston,190,10,52.9770408,-0.0239836
92,E07000137,23634.0,52.0,East Lindsey,80,12,53.2680103,0.0127758
93,E07000138,22664.0,33.5,Lincoln,2775,6,53.2336301,-0.5392172
94,E07000139,28639.0,46.1,North Kesteven,126,19,53.0725292,-0.4473539
95,E07000140,25558.0,46.2,South Holland,125,12,52.8127195,-0.0012628
96,E07000141,25972.0,46.2,South Kesteven,150,12,52.8502665,-0.4951925
97,E07000142,27685.0,47.9,West Lindsey,82,5,53.3977285,-0.5035288
175,E07000143,23143.0,46.4,Breckland,107,11,52.5903063,0.7590358
176,E07000144,26363.0,48.0,Broadland,234,13,52.6928977,1.2564875
177,E07000145,21918.0,45.7,Great Yarmouth,570,16,52.6071742,1.7314845
178,E07000146,24498.0,47.4,King's Lynn and West Norfolk,106,32,52.7131627,0.4348749
179,E07000147,21427.0,53.8,North Norfolk,109,13,52.835652,1.1276598
180,E07000148,25987.0,33.3,Norwich,3617,1,52.628606,1.29227
181,E07000149,28675.0,46.2,South Norfolk,152,11,52.5169106,1.3661678
98,E07000150,22986.0,37.4,Corby,882,8,52.4877341,-0.7032713
99,E07000151,31238.0,45.1,Daventry,128,16,52.2646852,-1.1639791
100,E07000152,32021.0,44.6,East Northamptonshire,184,27,52.25,-0.833333
101,E07000153,27304.0,41.2,Kettering,434,16,52.3994233,-0.728004
102,E07000154,27777.0,37.2,Northampton,2787,49,52.2381355,-0.8963907
103,E07000155,33455.0,45.2,South Northamptonshire,146,13,52.25,-0.833333
104,E07000156,23647.0,41.9,Wellingborough,487,11,52.30189,-0.6937309
56,E07000163,,50.1,Craven,48,20,54.053753,-2.1615124
57,E07000164,27639.0,49.4,Hambleton,70,18,54.2504584,-1.4368783
58,E07000165,32191.0,47.0,Harrogate,123,35,53.9921491,-1.5391039
59,E07000166,24638.0,43.9,Richmondshire,40,7,54.3574047,-1.9849525
60,E07000167,27708.0,50.0,Ryedale,36,6,54.1984242,-0.8614246
61,E07000168,22600.0,49.7,Scarborough,133,17,54.2820009,-0.4011868
62,E07000169,32728.0,44.6,Selby,149,8,53.785097,-1.0990407
105,E07000170,25083.0,42.1,Ashfield,1161,37,53.0897738,-1.2518767
106,E07000171,24794.0,45.6,Bassetlaw,183,10,53.349452,-0.9616604
107,E07000172,32044.0,43.2,Broxtowe,1414,24,52.9782566,-1.2170642
108,E07000173,29166.0,44.0,Gedling,982,31,53.0260538,-1.1071169
109,E07000174,21600.0,42.1,Mansfield,1419,33,53.1447678,-1.1973365
110,E07000175,27586.0,45.2,Newark and Sherwood,187,24,53.108954,-0.9443018
111,E07000176,36684.0,43.9,Rushcliffe,288,17,52.9125011,-1.0110622
