lon,lat,Code,deaths,X2018_people_per_sq_km,Mean_ann_earnings,median_age_2018,pm25_val,no2_val,o3_val,pm10_val,so2_val,nox_val
-3.2289494,54.1113351,E07000027,27,861,27140.0,44.9,7.6728104,12.727399700000001,4.0888663,10.6241448,2.8608184999999997,17.7032027
-2.9362311,54.8948478,E07000028,31,104,23809.0,44.8,6.4412244,9.6188772,2.5603494,9.492552700000001,1.0809990800000002,12.620966999999998
-3.3311253,54.3876165,E07000029,18,94,31177.0,46.7,4.845371500000001,3.8871822000000003,3.4144277999999995,7.3139753999999995,0.6193820700000001,4.8296503
-2.6715222,54.6056481,E07000030,14,25,22359.0,50.3,5.136063900000002,5.2316422,3.5391999999999997,7.6420366,0.5995462400000001,6.5719099
-2.7713617,54.2720691,E07000031,63,68,27942.0,50.9,5.736073800000001,6.9430999,3.7705112000000005,9.133963999999999,0.63358659,8.833434999999998
-1.4625031,53.0290384,E07000032,31,477,28594.0,46.0,7.972406600000001,10.8315989,4.666616799999999,12.27071,1.5907661999999998,14.339093
-1.2912756,53.228666,E07000033,10,496,23373.0,44.0,8.032104999999998,10.750084000000001,4.3229535,13.752782999999999,1.8482894,14.182632000000002
-1.4264097,53.2352134,E07000034,17,1584,25376.0,44.5,7.491810900000002,13.857115000000002,3.6528513000000005,11.295952999999999,2.0965203000000003,18.940473
-1.6561733,53.1302876,E07000035,18,91,31252.0,50.8,6.504132199999999,6.5049385,4.626090499999999,10.460234600000001,1.3010309999999998,8.291103500000002
-1.3513172,52.9380048,E07000036,29,1053,25772.0,43.7,8.369129599999999,11.902981999999998,4.7215365,13.745463999999998,1.3558586,15.905189000000002
-1.8528746,53.3675462,E07000037,19,171,25908.0,45.9,5.598867199999999,6.021226200000001,3.9209425,8.156305599999998,1.0881767,7.639379500000001
-1.5239286,53.2226728,E07000038,31,367,25327.0,47.6,6.4299199,7.286495700000001,4.3030872,9.9897856,1.3036986000000002,9.342608
-1.5026362,52.8224616,E07000039,26,309,32936.0,42.2,8.118325,9.342942,5.2760869,13.535331,1.2621606,12.214542
-3.2215643,50.7568771,E07000040,8,177,25979.0,50.9,5.81499,4.4250547000000005,11.526021,9.7121842,0.53770678,5.5150696
-3.5269497,50.7255794,E07000041,16,2773,24395.0,33.7,7.470270099999999,10.824741600000001,9.880578699999997,11.277316500000001,1.32668385,14.314317400000002
-3.5997,50.8683922,E07000042,4,89,24840.0,46.5,5.6382026000000005,3.9930223,11.519217,9.4425973,0.51775786,4.9617107
-3.9239233,51.061456,E07000043,5,88,22084.0,47.6,5.8727802,4.0193632,10.420826,9.710872400000001,0.54846809,4.9923274
-3.8162499,50.3720603,E07000044,4,97,25262.0,51.2,5.139693899999999,4.296059099999999,11.593116,8.682319,0.45332187,5.3509954
-3.6559106,50.6125552,E07000045,11,197,23794.0,49.2,5.5653932,5.0744308,11.467825000000001,9.1772338,0.68785042,6.3619008
-4.2612056,50.8626014,E07000046,2,69,22622.0,50.2,5.6258022,3.6705805,10.872129999999999,9.702917500000002,0.48652055,4.5492059
-4.0743109,50.6519974,E07000047,5,48,23198.0,50.8,5.0035982,3.6461839000000005,11.638387,8.0422072,0.4541401199999999,4.515011100000001
0.2957854,50.7685761,E07000061,19,2336,26181.0,45.7,9.3773453,9.752461699999998,11.759843,13.624178,0.9145398100000002,12.8085308
0.5824703,50.8553888,E07000062,3,3124,22645.0,43.0,9.866739200000001,9.6733891,12.231186,14.291205000000001,1.0430827299999998,12.688274799999999
0.0051153,50.8746139,E07000063,21,352,27060.0,47.7,9.684653399999998,11.0909904,11.441548000000001,14.452569,0.97356447,14.678283000000002
0.5740666,50.9514121,E07000064,8,188,28719.0,52.8,8.899473300000002,7.3256061,13.173792,13.930496999999999,0.66833729,9.412833699999998
0.1972801,50.9421692,E07000065,23,192,28785.0,48.8,8.675820599999998,7.3738905,12.607567,13.149523000000002,0.8610467999999999,9.4789757
0.4757363,51.5754602,E07000066,63,1689,32954.0,39.3,10.804425000000002,18.189627999999995,10.8033665,16.026555000000002,1.4850599,25.881147999999996
0.5537161,51.8780637,E07000067,28,248,32889.0,43.5,10.2612966,11.672881200000003,11.992531,15.909494999999998,1.3252693,15.557248000000001
0.3018662,51.6201654,E07000068,30,500,40998.0,43.3,10.865376000000001,16.547782999999995,10.978728,16.589454,1.283558,23.031353
0.5839689,51.5444908,E07000069,27,1998,31942.0,46.9,9.8696977,14.451425,12.369333999999998,14.589595000000003,1.1561509,19.946812
0.4724553,51.7345398,E07000070,47,523,31884.0,41.7,10.893198000000002,15.820256,11.02043,16.397975,1.7456404000000003,21.969149
0.8994651,51.8896903,E07000071,26,585,32774.0,37.9,10.553736999999998,14.486958000000001,11.0917336,15.910501,1.4792759999999998,19.884129
0.054778,51.6651914,E07000072,65,387,35185.0,42.7,10.770344,16.199255,10.499471,16.411959,1.1097612799999999,22.466073999999995
0.0974893,51.7676194,E07000073,38,2836,28669.0,37.5,10.328424000000002,14.646809000000001,10.711955999999999,15.602346,1.2614583,20.052829
0.6843548,51.7155563,E07000074,13,180,34872.0,48.7,9.884882999999999,10.272147399999998,13.148023,15.939446999999998,1.20161058,13.584746
0.6787131,51.5840602,E07000075,26,513,32303.0,46.1,10.021089,13.535622,12.597711999999998,15.661922999999998,1.07304211,18.494540999999998
1.1128842,51.8753236,E07000076,37,432,24841.0,50.4,9.4568668,8.3853929,13.180653000000001,15.539169999999999,0.8853579500000001,10.871376000000001
0.2708365,51.9299895,E07000077,16,139,43669.0,44.0,9.6183207,9.283396,12.340784,15.836572999999998,0.98511803,12.146906999999999
-2.0711559,51.8995685,E07000078,37,2513,32972.0,40.2,9.7823787,12.648716600000002,8.4189213,14.347902999999999,1.4798453999999999,17.027794000000004
-1.8913308,51.845168,E07000079,14,76,31025.0,48.8,8.478378100000002,5.7545401,10.36799,13.764572999999999,0.7157270600000001,7.272568399999999
-2.5559861,51.8090013,E07000080,16,164,26008.0,47.9,7.747272499999999,5.5670709,10.158138,11.573183,1.1165501,7.018078699999999
-2.2458192,51.8653705,E07000081,31,3188,25840.0,38.9,9.8998636,13.924984999999998,8.050503099999998,14.741140999999999,1.7663360999999997,18.981825
-2.2198605,51.745424,E07000082,21,258,28761.0,46.4,8.793628599999998,9.326788400000002,9.7886224,13.003305000000001,1.3319817,12.165969
-2.156017,51.9925394,E07000083,22,223,,44.7,8.6695742,9.213754300000002,8.9272931,13.293085,1.1121896100000002,12.0031656
-1.2211073,51.2587797,E07000084,41,277,33830.0,41.0,8.8966473,8.721378600000001,13.97597,14.168392,0.66297759,11.354077
-0.9656368,51.0401277,E07000085,22,235,40919.0,46.9,8.7581483,8.076171400000002,13.750857,13.543663,1.2558075,10.450329999999997
-1.3602724,50.9573881,E07000086,17,1653,28543.0,42.2,10.7409269,19.573991000000003,9.8977684,15.478222000000002,1.8705449,28.221622000000004
-1.1783134,50.8526637,E07000087,40,1567,33102.0,46.3,10.5771411,16.889872999999998,10.8429516,15.240264999999999,2.3192516000000003,23.667041
-1.1210853,50.7952074,E07000088,22,3363,25507.0,42.2,10.0079637,19.420024,9.502710500000001,14.180713,1.8669096,28.767978999999997
-0.892799,51.2761671,E07000089,20,447,41808.0,43.4,9.3058363,11.320300699999999,12.440316,13.777085,0.9705586199999999,15.045449999999999
-0.9821263,50.8519351,E07000090,30,2272,27619.0,45.8,10.6436537,17.112756,10.3279584,15.094778999999999,1.7601818999999999,24.206259
-1.5779646,50.8575514,E07000091,27,239,27106.0,50.4,8.2879533,8.9320178,13.501277000000002,12.030216999999999,0.8401164600000002,11.628505
-0.7693917,51.2752389,E07000092,14,2437,33288.0,38.3,9.9326381,13.147770999999997,11.556709,14.147054,1.3883642,17.817997
-1.5182864,51.1337904,E07000093,15,199,32490.0,44.9,8.4999448,8.0586544,14.446883000000003,13.252569,0.71932901,10.434156
-1.3131692,51.0612766,E07000094,22,188,,43.4,9.902787799999997,14.594964,12.065175,14.645713,1.09658612,19.941687
-0.0190782,51.7465723,E07000095,37,1883,35279.0,40.1,10.250508700000001,13.800899999999999,10.842063,15.414835,1.1131381,18.7203
-0.551551,51.7689541,E07000096,44,726,34227.0,40.6,9.7233982,10.8799886,10.832738999999998,14.573329999999999,0.9363779799999999,14.408080000000002
-0.2681113,51.6808298,E07000098,74,1030,38523.0,40.7,10.419127,15.103082,10.251200100000002,15.678256999999997,1.08339455,20.760393
-0.2230509,51.9568649,E07000099,20,355,33290.0,42.1,10.1532783,12.778805999999998,10.267244999999999,16.11146,0.9804339900000001,17.173255
-0.4738013,51.6701376,E07000102,25,1048,44711.0,41.8,10.503364999999999,16.238475,9.6982745,15.885116000000002,0.82349506,22.394609
-0.3957425,51.6553875,E07000103,38,4515,32829.0,36.7,11.186909,18.448045,9.068045699999999,16.200933,1.3078189,26.124575000000004
0.8722566,51.148555,E07000105,17,223,29591.0,41.9,10.751593,14.322888999999998,11.862994,16.145902,1.6453384,19.589059
